customer_id,customer_name,date_of_birth,age,email,phone,street_address,city,state,zip_code,notes
c2fd6c19,Anonymous,1957-07-21,72.89641663586805,mark.jones@aol.com,(364) 820-3448,4848 Pasture Dr,Dover,WV,27369,Comparison plot for trial program
7aadd52f,Anonymous,1975-09-01,73.0,michael.martin@aol.com,(587) 952-6301,9724 Hollow Rd,Oakland,IA,77869,Drip irrigation system installed
42a3e922,Anonymous,1973-05-16,52.22280767529183,karen.williams@icloud.com,(676) 616-3086,4045 Creek Loop,Oxford,IA,56635,Drip irrigation system installed
edb738a9,Anonymous,1958-11-06,46.14091713014783,sandra.hernandez@protonmail.com,(750) 813-3564,8874 Grain Mill Hwy,Oxford,TN,40547,Field recently treated with lime
1df5f345,Anonymous,1996-02-22,40.87503427967088,jessica.miller@aol.com,(896) 866-3064,4332 Hollow Trl,Dover,OR,99632,Sample collected pre-irrigation
5a536faf,Anonymous,1968-05-25,50.427729971228665,anthony.garcia@comcast.net,(903) 327-4449,3880 River Bend Rd,Princeton,WI,41313,Post-harvest soil assessment
82ab3e91,Anonymous,1998-12-09,41.66294690460562,michael.davis@me.com,(721) 669-4811,646 Old Mill Trl,Monroe,MO,18522,Organic certification required
2eb0ba52,Anonymous,1954-04-24,48.85924233801589,joseph.martinez@att.net,(898) 638-2481,5631 Valley Hwy,Arlington,WI,75682,Post-harvest soil assessment
ee570c9d,Anonymous,1971-11-20,56.96178550905536,susan.smith@mail.com,(485) 856-4213,2340 Cornfield Trl,Madison,AZ,55859,Suspected micronutrient deficiency
9a0d8984,Anonymous,1975-07-14,43.96397544778486,jennifer.smith@outlook.com,(748) 367-3603,S8976W3327,Greenville,OH,63197,New crop rotation beginning
9082f197,Anonymous,1980-11-22,47.38950293225073,sandra.jones@yahoo.com,(977) 359-4630,546 Township Pike,Franklin,SC,51272,Cover crop incorporated last month
33c2c884,Anonymous,1984-05-17,47.455140625348584,nancy.lopez@outlook.com,(415) 991-5817,6245 Meadow Dr,Riverside,NC,92830,Repeat from same field section
7376f345,Anonymous,1961-04-11,45.357362948460555,sarah.brown@yahoo.com,(923) 867-3934,8161 Township Loop,Georgetown,WV,18544,New crop rotation beginning
918e8cc7,Anonymous,1953-03-25,43.39018344827675,linda.brown@mail.com,(910) 682-5560,3160 Fence Post Trl,Greenville,NY,99207,Suspected micronutrient deficiency
910659f9,Anonymous,1959-12-01,62.50303331629218,betty.brown@protonmail.com,(490) 774-3567,3479 Grain Mill Loop,Arlington,CO,61784,Spring planting preparation
1b7e9d6f,Anonymous,1998-02-25,26.0,mark.gonzalez@outlook.com,(941) 665-7551,3031 Harvest Dr,Burlington,KY,27557,Spring planting preparation
9122c60b,Anonymous,2000-06-06,73.0,susan.taylor@outlook.com,(577) 988-5664,6878 Orchard Trl,Franklin,NY,50105,Comparison plot for trial program
d99f7500,Anonymous,1993-03-19,52.55209252070239,lisa.hernandez@me.com,(326) 711-5897,9265 Hollow Hwy,Clinton,CT,61124,Field recently treated with lime
9c105f31,Anonymous,1971-08-01,60.0865598944433,robert.lopez@aol.com,(378) 766-3992,1906 Orchard Hwy,Burlington,NV,22781,Field recently treated with lime
0a6751b8,Anonymous,1988-06-04,61.91361805148548,sarah.johnson@hotmail.com,(715) 559-4138,N5024W3295,Princeton,HI,62201,Sample collected pre-irrigation
